,ds,y
0,2021-09-21,23408
1,2021-09-22,12293
2,2021-09-23,11578
3,2021-09-24,1375
4,2021-09-25,931
5,2021-09-26,14402
6,2021-09-27,14444
7,2021-09-28,14465
8,2021-09-29,13046
9,2021-09-30,13767
10,2021-10-01,2068
11,2021-10-02,1139
12,2021-10-03,15329
13,2021-10-04,16246
14,2021-10-05,14459
15,2021-10-06,13611
16,2021-10-07,13676
17,2021-10-08,2168
18,2021-10-09,2159
19,2021-10-10,14324
20,2021-10-11,16569
21,2021-10-12,17069
22,2021-10-13,15583
23,2021-10-14,13117
24,2021-10-15,1776
25,2021-10-16,1518
26,2021-10-17,9752
27,2021-10-18,15466
28,2021-10-19,15653
29,2021-10-20,14446
30,2021-10-21,12596
31,2021-10-22,1168
32,2021-10-23,1071
33,2021-10-24,14756
34,2021-10-25,13832
35,2021-10-26,13199
36,2021-10-27,12787
37,2021-10-28,13585
38,2021-10-29,980
39,2021-10-30,1187
40,2021-10-31,15330
41,2021-11-01,14424
42,2021-11-02,14683
43,2021-11-03,13582
44,2021-11-04,13293
45,2021-11-05,431
46,2021-11-06,17174
47,2021-11-07,14839
48,2021-11-08,14653
49,2021-11-09,15701
50,2021-11-10,16582
51,2021-11-11,1774
52,2021-11-12,1662
53,2021-11-13,19179
54,2021-11-14,17801
55,2021-11-15,16459
56,2021-11-16,15117
57,2021-11-17,14314
58,2021-11-18,1283
59,2021-11-19,1672
60,2021-11-20,15426
61,2021-11-21,13428
62,2021-11-22,15443
63,2021-11-23,14470
64,2021-11-24,12210
65,2021-11-25,1892
66,2021-11-26,2134
67,2021-11-27,15562
68,2021-11-28,15659
69,2021-11-29,13903
70,2021-11-30,16130
71,2021-12-01,13990
72,2021-12-02,2201
73,2021-12-03,2096
74,2021-12-04,15465
75,2021-12-05,16308
76,2021-12-06,15005
77,2021-12-07,14929
78,2021-12-08,13392
79,2021-12-09,2573
80,2021-12-10,2587
81,2021-12-11,16387
82,2021-12-12,14315
83,2021-12-13,16094
84,2021-12-14,14557
85,2021-12-15,15846
86,2021-12-16,2485
87,2021-12-17,2064
88,2021-12-18,15765
89,2021-12-19,15103
90,2021-12-20,15272
91,2021-12-21,14056
92,2021-12-22,13643
93,2021-12-23,656
94,2021-12-24,793
95,2021-12-25,13333
96,2021-12-26,14112
97,2021-12-27,14327
98,2021-12-28,14942
99,2021-12-29,13173
100,2021-12-30,2362
101,2021-12-31,2615
102,2022-01-01,14607
103,2022-01-02,15261
104,2022-01-03,13862
105,2022-01-04,10641
106,2022-01-05,8381
107,2022-01-06,2576
108,2022-01-07,2978
109,2022-01-08,16544
110,2022-01-09,16928
111,2022-01-10,16958
112,2022-01-11,21590
113,2022-01-12,16341
114,2022-01-13,2677
115,2022-01-14,554
116,2022-01-15,17162
117,2022-01-16,15508
118,2022-01-17,13442
119,2022-01-18,13971
120,2022-01-19,12668
121,2022-01-20,1096
122,2022-01-21,825
123,2022-01-22,14843
124,2022-01-23,13457
125,2022-01-24,12923
126,2022-01-25,13478
127,2022-01-26,11523
128,2022-01-27,1359
129,2022-01-28,1042
130,2022-01-29,13878
131,2022-01-30,13000
132,2022-01-31,12721
133,2022-02-01,9937
134,2022-02-02,4025
135,2022-02-03,665
136,2022-02-04,645
137,2022-02-05,7869
138,2022-02-06,8640
